policy_id,product,segment,region,period,written_premium,earned_premium
P00051,Commercial,Construction,South,2026-09,22524,21868
P00052,Commercial,Construction,South,2026-09,11679,11339
P00053,Commercial,Construction,South,2026-09,55585,53966
P00054,Commercial,Construction,South,2026-09,48710,47291
P00055,Commercial,Construction,South,2026-09,50981,49496
P00056,Commercial,Construction,South,2026-09,55237,53628
P00057,Commercial,Construction,South,2026-09,37111,36030
P00058,Commercial,Construction,South,2026-09,43297,42036
P00059,Commercial,Construction,South,2026-09,19138,18581
P00060,Commercial,Construction,South,2026-09,17715,17199
P00061,Commercial,Construction,South,2026-09,48911,47486
P00062,Commercial,Construction,South,2026-09,37797,36696
P00063,Commercial,Construction,South,2026-09,43099,41844
P00064,Commercial,Construction,South,2026-09,54351,52768
P00065,Commercial,Construction,South,2026-09,47013,45644
P00066,Commercial,Construction,South,2026-09,42443,41207
P00067,Commercial,Construction,South,2026-09,42760,41515
P00068,Commercial,Construction,South,2026-09,28384,27557
P00069,Commercial,Construction,South,2026-09,13000,12621
P00070,Commercial,Construction,South,2026-09,35862,34817
P00071,Commercial,Construction,South,2026-09,23350,22670
P00072,Commercial,Construction,South,2026-09,34273,33275
P00073,Commercial,Construction,South,2026-09,59330,57602
P00074,Commercial,Construction,South,2026-09,24440,23728
P00075,Commercial,Construction,South,2026-09,14548,14124
P00076,Commercial,Construction,South,2026-09,27113,26323
P00077,Commercial,Construction,South,2026-09,27800,26990
P00078,Commercial,Construction,South,2026-09,48545,47131
P00079,Commercial,Construction,South,2026-09,42638,41396
P00080,Commercial,Construction,South,2026-09,55415,53801
P00081,Commercial,Construction,South,2026-09,48680,47262
P00082,Commercial,Construction,South,2026-09,34153,33158
P00083,Commercial,Construction,South,2026-09,57111,55448
P00084,Commercial,Construction,South,2026-09,20669,20067
P00085,Commercial,Construction,South,2026-09,12543,12178
P00086,Commercial,Construction,South,2026-09,16336,15860
P00087,Commercial,Construction,South,2026-09,51949,50436
P00088,Commercial,Construction,South,2026-09,37278,36192
P00089,Commercial,Construction,South,2026-09,20348,19755
P00090,Commercial,Construction,South,2026-09,39484,38334
P00091,Commercial,Construction,South,2026-09,19843,19265
P00092,Commercial,Construction,South,2026-09,50482,49012
P00093,Commercial,Construction,South,2026-09,36393,35333
P00094,Commercial,Construction,South,2026-09,32724,31771
P00095,Commercial,Construction,South,2026-09,28246,27423
P00096,Commercial,Construction,South,2026-09,46763,45401
P00097,Commercial,Construction,South,2026-09,31643,30721
P00098,Commercial,Construction,South,2026-09,16201,15729
P00099,Commercial,Construction,South,2026-09,17911,17389
P00100,Commercial,Construction,South,2026-09,65440,63534
P00101,Commercial,Construction,South,2026-09,62438,60619
P00102,Commercial,Construction,South,2026-09,50673,49197
P00103,Commercial,Construction,South,2026-09,26238,25474
P00104,Commercial,Construction,South,2026-09,65850,63932
P00105,Commercial,Construction,South,2026-09,55125,53519
P00106,Commercial,Construction,South,2026-09,51641,50137
P00107,Commercial,Construction,South,2026-09,36573,35508
P00108,Commercial,Construction,South,2026-09,26598,25823
P00109,Commercial,Construction,South,2026-09,16693,16207
P00110,Commercial,Construction,South,2026-09,62101,60292
P00111,Commercial,Construction,South,2026-09,36935,35859
P00112,Commercial,Construction,South,2026-09,22662,22002
P00113,Commercial,Construction,South,2026-09,28496,27666
P00114,Commercial,Construction,South,2026-09,43887,42609
P00115,Commercial,Construction,South,2026-09,21220,20602
P00116,Commercial,Construction,South,2026-09,59510,57777
P00117,Commercial,Construction,South,2026-09,53985,52413
P00118,Commercial,Construction,South,2026-09,51786,50278
P00119,Commercial,Construction,South,2026-09,35601,34564
P00120,Commercial,Construction,South,2026-09,46595,45238
P00121,Commercial,Construction,South,2026-09,44162,42876
P00122,Commercial,Construction,South,2026-09,47865,46471
P00123,Commercial,Construction,South,2026-09,16021,15554
P00124,Commercial,Construction,South,2026-09,34683,33673
P00125,Commercial,Construction,South,2026-09,13608,13212
P00126,Commercial,Construction,South,2026-09,39086,37948
P00127,Commercial,Construction,South,2026-09,29843,28974
P00128,Commercial,Construction,South,2026-09,19404,18839
P00129,Commercial,Construction,South,2026-09,17089,16591
P00130,Commercial,Construction,South,2026-09,44362,43070
P00131,Commercial,Construction,South,2026-09,20873,20265
P00132,Commercial,Construction,South,2026-09,63369,61523
P00133,Commercial,Construction,South,2026-09,43991,42710
P00134,Commercial,Construction,South,2026-09,30801,29904
P00135,Commercial,Construction,South,2026-09,44545,43248
P00136,Commercial,Construction,South,2026-09,12548,12183
P00137,Commercial,Construction,South,2026-09,65253,63352
P00138,Commercial,Construction,South,2026-09,38428,37309
P00139,Commercial,Construction,South,2026-09,55349,53737
P00140,Commercial,Construction,South,2026-09,15924,15460
P00141,Commercial,Construction,South,2026-09,38673,37547
P00142,Commercial,Construction,South,2026-09,38902,37769
P00143,Commercial,Construction,South,2026-09,64085,62218
P00144,Commercial,Construction,South,2026-09,43465,42199
P00145,Commercial,Construction,South,2026-09,37932,36827
P00146,Commercial,Construction,South,2026-09,26301,25535
P00147,Commercial,Construction,South,2026-09,29939,29067
P00148,Commercial,Construction,South,2026-09,40589,39407
P00149,Commercial,Construction,South,2026-09,35985,34937
P00150,Commercial,Construction,South,2026-09,12482,12118
P00151,Commercial,Construction,South,2026-09,57803,56119
P00152,Commercial,Construction,South,2026-09,61738,59940
P00153,Commercial,Construction,South,2026-09,19163,18605
P00154,Commercial,Construction,South,2026-09,42469,41232
P00155,Commercial,Construction,South,2026-09,17379,16873
P00156,Commercial,Construction,South,2026-09,49126,47695
P00157,Commercial,Construction,South,2026-09,27104,26315
P00158,Commercial,Construction,South,2026-09,48404,46994
P00159,Commercial,Construction,South,2026-09,52210,50689
P00160,Commercial,Construction,South,2026-09,54556,52967
P00161,Commercial,Construction,South,2026-09,17333,16828
P00162,Commercial,Construction,South,2026-09,62856,61025
P00163,Commercial,Construction,South,2026-09,24231,23525
P00164,Commercial,Construction,South,2026-09,13371,12982
P00165,Commercial,Construction,South,2026-09,42514,41276
P00166,Commercial,Construction,South,2026-09,32156,31219
P00167,Commercial,Construction,South,2026-09,57999,56310
P00168,Commercial,Construction,South,2026-09,56787,55133
P00169,Commercial,Construction,South,2026-09,29126,28278
P00170,Commercial,Construction,South,2026-09,64933,63042
P00171,Commercial,Construction,South,2026-09,27649,26844
P00172,Commercial,Construction,South,2026-09,40273,39100
P00173,Commercial,Construction,South,2026-09,25681,24933
P00174,Commercial,Construction,South,2026-09,63984,62120
P00175,Commercial,Construction,South,2026-09,20535,19937
P00176,Commercial,Construction,South,2026-09,13794,13392
P00177,Commercial,Construction,South,2026-09,35770,34728
P00178,Commercial,Construction,South,2026-09,67157,65201
P00179,Commercial,Construction,South,2026-09,61485,59694
P00180,Commercial,Construction,South,2026-09,53427,51871
P00181,Commercial,Construction,South,2026-09,61435,59646
P00182,Commercial,Construction,South,2026-09,61585,59791
P00183,Commercial,Construction,South,2026-09,40487,39308
P00184,Commercial,Construction,South,2026-09,29058,28212
P00185,Commercial,Construction,South,2026-09,54746,53151
P00186,Commercial,Construction,South,2026-09,48531,47117
P00187,Commercial,Construction,South,2026-09,32309,31368
P00188,Commercial,Construction,South,2026-09,16585,16102
P00189,Commercial,Construction,South,2026-09,53325,51772
P00190,Commercial,Construction,South,2026-09,26047,25288
P00191,Commercial,Construction,South,2026-09,64028,62163
P00192,Commercial,Construction,South,2026-09,24836,24113
P00193,Commercial,Construction,South,2026-09,18178,17649
P00194,Commercial,Construction,South,2026-09,58074,56383
P00195,Commercial,Construction,South,2026-09,19898,19318
P00196,Commercial,Construction,South,2026-09,21361,20739
P00197,Commercial,Construction,South,2026-09,45022,43711
P00198,Commercial,Construction,South,2026-09,60522,58759
P00199,Commercial,Construction,South,2026-09,22328,21678
P00200,Commercial,Construction,South,2026-09,28742,27905
P00201,Commercial,Construction,South,2026-09,55049,53446
P00202,Commercial,Construction,South,2026-09,65999,64077
P00203,Commercial,Construction,South,2026-09,39468,38318
P00204,Commercial,Construction,South,2026-09,19369,18805
P00205,Commercial,Construction,South,2026-09,12049,11698
P00206,Commercial,Construction,South,2026-09,24199,23494
P00207,Commercial,Construction,South,2026-09,18689,18145
P00208,Commercial,Construction,South,2026-09,49432,47992
P00209,Commercial,Construction,South,2026-09,18126,17598
P00210,Commercial,Construction,South,2026-09,39782,38623
P00211,Commercial,Construction,South,2026-09,50367,48900
P00212,Commercial,Construction,South,2026-09,43994,42713
P00213,Commercial,Construction,South,2026-09,22516,21860
P00214,Commercial,Construction,South,2026-09,56554,54907
P00215,Commercial,Construction,South,2026-09,51558,50056
P00216,Commercial,Construction,South,2026-09,52885,51345
P00217,Commercial,Construction,South,2026-09,18646,18103
P00218,Commercial,Construction,South,2026-09,18234,17703
P00219,Commercial,Construction,South,2026-09,63507,61657
P00220,Commercial,Construction,South,2026-09,33656,32676
P00221,Commercial,Construction,South,2026-09,28215,27393
P00222,Commercial,Construction,South,2026-09,38783,37653
P00223,Commercial,Construction,South,2026-09,48598,47183
P00224,Commercial,Construction,South,2026-09,65087,63191
P00225,Commercial,Construction,South,2026-09,27398,26600
P00226,Commercial,Construction,South,2026-09,63351,61506
P00227,Commercial,Construction,South,2026-09,12665,12296
P00228,Commercial,Construction,South,2026-09,42534,41295
P00229,Commercial,Construction,South,2026-09,46971,45603
P00230,Commercial,Construction,South,2026-09,17229,16727
P00231,Commercial,Construction,South,2026-09,19168,18610
P00232,Commercial,Construction,South,2026-09,34870,33854
P00233,Commercial,Construction,South,2026-09,65684,63771
P00234,Commercial,Construction,South,2026-09,44835,43529
P00235,Commercial,Construction,South,2026-09,63814,61955
P00236,Commercial,Construction,South,2026-09,56568,54920
P00237,Commercial,Construction,South,2026-09,37588,36493
P00238,Commercial,Construction,South,2026-09,55463,53848
P00239,Commercial,Construction,South,2026-09,12269,11912
P00240,Commercial,Construction,South,2026-09,17411,16904
P00241,Commercial,Construction,South,2026-09,57980,56291
P00242,Commercial,Construction,South,2026-09,56142,54507
P00243,Commercial,Construction,South,2026-09,24367,23657
P00244,Commercial,Construction,South,2026-09,41159,39960
P00245,Commercial,Construction,South,2026-09,45396,44074
P00246,Commercial,Construction,South,2026-09,60137,58385
P00247,Commercial,Construction,South,2026-09,45232,43915
P00248,Commercial,Construction,South,2026-09,34501,33496
P00249,Commercial,Construction,South,2026-09,32339,31397
P00250,Commercial,Construction,South,2026-09,35251,34224
P00251,Commercial,Construction,South,2026-09,47983,46585
P00252,Commercial,Construction,South,2026-09,60123,58372
P00253,Commercial,Construction,South,2026-09,36829,35756
P00254,Commercial,Construction,South,2026-09,25224,24489
P00255,Commercial,Construction,South,2026-09,24593,23877
P00256,Commercial,Construction,South,2026-09,53281,51729
P00257,Commercial,Construction,South,2026-09,57255,55587
P00258,Commercial,Construction,South,2026-09,17194,16693
P00259,Commercial,Construction,South,2026-09,15013,14576
P00260,Commercial,Construction,South,2026-09,44744,43441
P00261,Commercial,Construction,South,2026-09,19497,18929
P00262,Commercial,Construction,South,2026-09,57711,56030
P00263,Commercial,Construction,South,2026-09,28743,27906
P00264,Commercial,Construction,South,2026-09,19367,18803
P00265,Commercial,Construction,South,2026-09,63135,61296
P00266,Commercial,Construction,South,2026-09,20588,19988
P00267,Commercial,Construction,South,2026-09,27300,26505
P00268,Commercial,Construction,South,2026-09,19916,19336
P00269,Commercial,Construction,South,2026-09,17769,17251
P00270,Commercial,Construction,South,2026-09,12456,12093
P00271,Commercial,Construction,South,2026-09,14384,13965
P00272,Commercial,Construction,South,2026-09,21101,20486
P00273,Commercial,Construction,South,2026-09,14271,13855
P00274,Commercial,Construction,South,2026-09,44559,43261
P00275,Commercial,Construction,South,2026-09,49604,48159
P00276,Commercial,Construction,South,2026-09,33435,32461
P00277,Commercial,Construction,South,2026-09,29174,28324
P00278,Commercial,Construction,South,2026-09,39680,38524
P00279,Commercial,Construction,South,2026-09,60546,58783
P00280,Commercial,Construction,South,2026-09,59201,57477
P00281,Commercial,Construction,South,2026-09,13713,13314
P00282,Commercial,Construction,South,2026-09,21487,20861
P00283,Commercial,Construction,South,2026-09,24598,23882
P00284,Commercial,Construction,South,2026-09,25310,24573
P00285,Commercial,Construction,South,2026-09,43437,42172
P00286,Commercial,Construction,South,2026-09,34709,33698
P00287,Commercial,Construction,South,2026-09,14039,13630
P00288,Commercial,Construction,South,2026-09,32307,31366
P00289,Commercial,Construction,South,2026-09,40763,39576
P00290,Commercial,Construction,South,2026-09,16991,16496
P00291,Commercial,Construction,South,2026-09,58206,56511
P00292,Commercial,Construction,South,2026-09,14191,13778
P00293,Commercial,Construction,South,2026-09,63353,61508
P00294,Commercial,Construction,South,2026-09,16847,16356
P00295,Commercial,Construction,South,2026-09,58776,57064
P00296,Commercial,Construction,South,2026-09,62104,60295
P00297,Commercial,Construction,South,2026-09,66436,64501
P00298,Commercial,Construction,South,2026-09,56436,54792
P00299,Commercial,Construction,South,2026-09,55166,53559
P00300,Commercial,Construction,South,2026-09,47450,46068
P00301,Commercial,Construction,South,2026-09,55139,53533
P00302,Commercial,Construction,South,2026-09,18843,18294
P00303,Commercial,Construction,South,2026-09,41456,40249
P00304,Commercial,Construction,South,2026-09,40227,39055
P00305,Commercial,Construction,South,2026-09,59565,57830
P00306,Commercial,Construction,South,2026-09,37330,36243
P00307,Commercial,Construction,South,2026-09,32954,31994
P00308,Commercial,Construction,South,2026-09,47286,45909
P00309,Commercial,Construction,South,2026-09,26272,25507
P00310,Commercial,Construction,South,2026-09,19136,18579
P00311,Commercial,Construction,South,2026-09,38179,37067
P00312,Commercial,Construction,South,2026-09,34744,33732
P00313,Commercial,Construction,South,2026-09,24364,23654
P00314,Commercial,Construction,South,2026-09,31963,31032
P00315,Commercial,Construction,South,2026-09,31900,30971
P00316,Commercial,Construction,South,2026-09,29709,28844
P00317,Commercial,Construction,South,2026-09,32637,31686
P00318,Commercial,Construction,South,2026-09,49887,48434
P00319,Commercial,Construction,South,2026-09,27985,27170
P00320,Commercial,Construction,South,2026-09,64706,62821
P00321,Commercial,Construction,South,2026-09,62874,61043
P00322,Commercial,Construction,South,2026-09,38350,37233
P00323,Commercial,Construction,South,2026-09,29759,28892
P00324,Commercial,Construction,South,2026-09,41421,40215
P00325,Commercial,Construction,South,2026-09,59057,57337
P00326,Commercial,Construction,South,2026-09,48020,46621
P00327,Commercial,Construction,South,2026-09,56570,54922
P00328,Commercial,Construction,South,2026-09,41268,40066
P00329,Commercial,Construction,South,2026-09,46911,45545
P00330,Commercial,Construction,South,2026-09,27494,26693
P00331,Commercial,Construction,South,2026-09,52655,51121
P00332,Commercial,Construction,South,2026-09,22664,22004
P00333,Commercial,Construction,South,2026-09,50397,48929
P00334,Commercial,Construction,South,2026-09,59742,58002
P00335,Commercial,Construction,South,2026-09,18705,18160
P00336,Commercial,Construction,South,2026-09,45867,44531
P00337,Commercial,Construction,South,2026-09,16620,16136
P00338,Commercial,Construction,South,2026-09,52138,50619
P00339,Commercial,Construction,South,2026-09,16023,15556
P00340,Commercial,Construction,South,2026-09,63978,62115
P00341,Commercial,Construction,South,2026-09,19004,18450
P00342,Commercial,Construction,South,2026-09,65270,63369
P00343,Commercial,Construction,South,2026-09,56372,54730
P00344,Commercial,Construction,South,2026-09,44702,43400
P00345,Commercial,Construction,South,2026-09,55343,53731
P00346,Commercial,Construction,South,2026-09,56046,54414
P00347,Commercial,Construction,South,2026-09,64546,62666
P00348,Commercial,Construction,South,2026-09,25536,24792
P00349,Commercial,Construction,South,2026-09,44498,43202
P00350,Commercial,Construction,South,2026-09,16618,16134
P00351,Commercial,Construction,South,2026-09,45968,44629
P00352,Commercial,Construction,South,2026-09,20912,20303
P00353,Commercial,Construction,South,2026-09,43084,41829
P00354,Commercial,Construction,South,2026-09,43505,42238
P00355,Commercial,Construction,South,2026-09,37510,36417
P00356,Commercial,Construction,South,2026-09,40700,39515
P00357,Commercial,Construction,South,2026-09,54290,52709
P00358,Commercial,Construction,South,2026-09,56279,54640
P00359,Commercial,Construction,South,2026-09,38983,37848
P00360,Commercial,Construction,South,2026-09,45035,43723
P00361,Commercial,Construction,South,2026-09,63714,61858
P00362,Commercial,Construction,South,2026-09,18007,17483
P00363,Commercial,Construction,South,2026-09,17860,17340
P00364,Commercial,Construction,South,2026-09,16204,15732
P00365,Commercial,Construction,South,2026-09,48316,46909
P00366,Commercial,Construction,South,2026-09,34841,33826
P00367,Commercial,Construction,South,2026-09,54875,53277
P00368,Commercial,Construction,South,2026-09,49069,47640
P00369,Commercial,Construction,South,2026-09,30055,29180
P00370,Commercial,Construction,South,2026-09,61862,60060
P00371,Commercial,Construction,South,2026-09,54212,52633
P00372,Commercial,Construction,South,2026-09,26502,25730
P00373,Commercial,Construction,South,2026-09,31777,30851
P00374,Commercial,Construction,South,2026-09,28974,28130
P00375,Commercial,Construction,South,2026-09,20142,19555
P00376,Commercial,Construction,South,2026-09,19588,19017
P00377,Commercial,Construction,South,2026-09,63989,62125
P00378,Commercial,Construction,South,2026-09,35927,34881
P00379,Commercial,Construction,South,2026-09,32854,31897
P00380,Commercial,Construction,South,2026-09,52362,50837
P00381,Commercial,Construction,South,2026-09,42410,41175
P00382,Commercial,Construction,South,2026-09,63990,62126
P00383,Commercial,Construction,South,2026-09,55212,53604
P00384,Commercial,Construction,South,2026-09,38263,37149
P00385,Commercial,Construction,South,2026-09,32461,31516
P00386,Commercial,Construction,South,2026-09,66834,64887
P00387,Commercial,Construction,South,2026-09,51690,50184
P00388,Commercial,Construction,South,2026-09,64837,62949
P00389,Commercial,Construction,South,2026-09,17937,17415
P00390,Commercial,Construction,South,2026-09,59168,57445
P00391,Commercial,Construction,South,2026-09,47145,45772
P00392,Commercial,Construction,South,2026-09,18131,17603
P00393,Commercial,Construction,South,2026-09,44396,43103
P00394,Commercial,Construction,South,2026-09,49907,48453
P00395,Commercial,Construction,South,2026-09,11957,11609
P00396,Commercial,Construction,South,2026-09,36852,35779
P00397,Commercial,Construction,South,2026-09,57752,56070
P00398,Commercial,Construction,South,2026-09,27900,27087
P00399,Commercial,Construction,South,2026-09,37090,36010
P00400,Commercial,Construction,South,2026-09,36177,35123
P00401,Commercial,Construction,South,2026-09,28269,27446
P00402,Commercial,Construction,South,2026-09,62993,61158
P00403,Commercial,Construction,South,2026-09,55269,53659
P00404,Commercial,Construction,South,2026-09,17492,16983
P00405,Commercial,Construction,South,2026-09,67420,65456
P00406,Commercial,Construction,South,2026-09,60782,59012
P00407,Commercial,Construction,South,2026-09,27255,26461
P00408,Commercial,Construction,South,2026-09,58400,56699
P00409,Commercial,Construction,South,2026-09,17258,16755
P00410,Commercial,Construction,South,2026-09,67536,65569
P00411,Commercial,Construction,South,2026-09,48757,47337
P00412,Commercial,Construction,South,2026-09,47881,46486
P00413,Commercial,Construction,South,2026-09,16358,15882
P00414,Commercial,Construction,South,2026-09,61787,59987
P00415,Commercial,Construction,South,2026-09,12898,12522
P00416,Commercial,Construction,South,2026-09,24828,24105
P00417,Commercial,Construction,South,2026-09,19320,18757
P00418,Commercial,Construction,South,2026-09,55013,53411
P00419,Commercial,Construction,South,2026-09,22427,21774
P00420,Commercial,Construction,South,2026-09,62553,60731
P00421,Commercial,Construction,South,2026-09,48227,46822
P00422,Commercial,Construction,South,2026-09,13301,12914
P00423,Commercial,Construction,South,2026-09,11570,11233
P00424,Commercial,Construction,South,2026-09,14174,13761
P00425,Commercial,Construction,South,2026-09,45391,44069
P00426,Commercial,Construction,South,2026-09,56405,54762
P00427,Commercial,Construction,South,2026-09,24700,23981
P00428,Commercial,Construction,South,2026-09,59104,57383
P00429,Commercial,Construction,South,2026-09,14488,14066
P00430,Commercial,Construction,South,2026-09,56376,54734
P00431,Commercial,Construction,South,2026-09,63519,61669
P00432,Commercial,Construction,South,2026-09,54751,53156
P00433,Commercial,Construction,South,2026-09,50584,49111
P00434,Commercial,Construction,South,2026-09,58461,56758
P00435,Commercial,Construction,South,2026-09,13526,13132
P00436,Commercial,Construction,South,2026-09,22629,21970
P00437,Commercial,Construction,South,2026-09,18300,17767
P00438,Commercial,Construction,South,2026-09,39681,38525
P00439,Commercial,Construction,South,2026-09,53235,51684
P00440,Commercial,Construction,South,2026-09,46748,45386
P00441,Commercial,Construction,South,2026-09,59201,57477
P00442,Commercial,Construction,South,2026-09,20007,19424
P00443,Commercial,Construction,South,2026-09,52639,51106
P00444,Commercial,Construction,South,2026-09,22137,21492
P00445,Commercial,Construction,South,2026-09,26514,25742
P00446,Commercial,Construction,South,2026-09,51248,49755
P00447,Commercial,Construction,South,2026-09,66471,64535
P00448,Commercial,Construction,South,2026-09,45707,44376
P00449,Commercial,Construction,South,2026-09,14333,13916
P00450,Commercial,Construction,South,2026-09,45976,44637
P00451,Commercial,Construction,South,2026-09,13650,13252
P00452,Commercial,Construction,South,2026-09,61061,59283
P00453,Commercial,Construction,South,2026-09,51229,49737
P00454,Commercial,Construction,South,2026-09,21015,20403
P00455,Commercial,Construction,South,2026-09,16431,15952
P00456,Commercial,Construction,South,2026-09,21601,20972
P00457,Commercial,Construction,South,2026-09,66462,64526
P00458,Commercial,Construction,South,2026-09,37091,36011
P00459,Commercial,Construction,South,2026-09,55425,53811
P00460,Commercial,Construction,South,2026-09,47108,45736
P00461,Commercial,Construction,South,2026-09,43504,42237
P00462,Commercial,Construction,South,2026-09,19438,18872
P00463,Commercial,Construction,South,2026-09,64546,62666
P00464,Commercial,Construction,South,2026-09,28236,27414
P00465,Commercial,Construction,South,2026-09,43819,42543
P00466,Commercial,Construction,South,2026-09,50677,49201
P00467,Commercial,Construction,South,2026-09,47830,46437
P00468,Commercial,Construction,South,2026-09,64240,62369
P00469,Commercial,Construction,South,2026-09,19625,19053
P00470,Commercial,Construction,South,2026-09,39896,38734
P00471,Commercial,Construction,North,2026-09,15714,15256
P00472,Commercial,Construction,North,2026-09,10689,10378
P00473,Commercial,Construction,North,2026-09,32309,31368
P00474,Commercial,Construction,North,2026-09,14533,14110
P00475,Commercial,Construction,North,2026-09,22901,22234
P00476,Commercial,Construction,North,2026-09,29833,28964
P00477,Commercial,Construction,North,2026-09,29588,28726
P00478,Commercial,Construction,North,2026-09,19199,18640
P00479,Commercial,Construction,North,2026-09,20338,19746
P00480,Commercial,Construction,North,2026-09,35929,34883
P00481,Commercial,Construction,North,2026-09,26303,25537
P00482,Commercial,Construction,North,2026-09,30515,29626
P00483,Commercial,Construction,North,2026-09,33159,32193
P00484,Commercial,Construction,North,2026-09,29701,28836
P00485,Commercial,Construction,North,2026-09,11584,11247
P00486,Commercial,Construction,North,2026-09,22922,22254
P00487,Commercial,Construction,North,2026-09,9079,8815
P00488,Commercial,Construction,North,2026-09,25651,24904
P00489,Commercial,Construction,North,2026-09,34746,33734
P00490,Commercial,Construction,North,2026-09,21435,20811
P00491,Commercial,Construction,North,2026-09,19036,18482
P00492,Commercial,Construction,North,2026-09,7093,6886
P00493,Commercial,Construction,North,2026-09,34880,33864
P00494,Commercial,Construction,North,2026-09,9112,8847
P00495,Commercial,Construction,North,2026-09,7250,7039
P00496,Commercial,Construction,North,2026-09,13415,13024
P00497,Commercial,Construction,North,2026-09,7986,7753
P00498,Commercial,Construction,North,2026-09,19702,19128
P00499,Commercial,Construction,North,2026-09,21536,20909
P00500,Commercial,Construction,North,2026-09,15415,14966
P00501,Commercial,Construction,North,2026-09,7548,7328
P00502,Commercial,Construction,North,2026-09,9371,9098
P00503,Commercial,Construction,North,2026-09,17579,17067
P00504,Commercial,Construction,North,2026-09,7835,7607
P00505,Commercial,Construction,North,2026-09,27013,26226
P00506,Commercial,Construction,North,2026-09,12241,11884
P00507,Commercial,Construction,North,2026-09,15100,14660
P00508,Commercial,Construction,North,2026-09,17868,17348
P00509,Commercial,Construction,North,2026-09,18544,18004
P00510,Commercial,Construction,North,2026-09,6065,5888
P00511,Commercial,Construction,North,2026-09,9385,9112
P00512,Commercial,Construction,North,2026-09,31962,31031
P00513,Commercial,Construction,North,2026-09,6052,5876
P00514,Commercial,Construction,North,2026-09,21297,20677
P00515,Commercial,Construction,North,2026-09,20736,20132
P00516,Commercial,Construction,North,2026-09,16033,15566
P00517,Commercial,Construction,North,2026-09,18987,18434
P00518,Commercial,Construction,North,2026-09,29490,28631
P00519,Commercial,Construction,North,2026-09,31314,30402
P00520,Commercial,Construction,North,2026-09,13844,13441
P00521,Commercial,Construction,North,2026-09,15714,15256
P00522,Commercial,Construction,North,2026-09,13308,12920
P00523,Commercial,Construction,North,2026-09,20447,19851
P00524,Commercial,Construction,North,2026-09,26564,25790
P00525,Commercial,Construction,North,2026-09,12879,12504
P00526,Commercial,Construction,North,2026-09,15962,15497
P00527,Commercial,Construction,North,2026-09,33996,33006
P00528,Commercial,Construction,North,2026-09,7476,7258
P00529,Commercial,Construction,North,2026-09,19872,19293
P00530,Commercial,Construction,North,2026-09,27414,26616
P00531,Commercial,Construction,North,2026-09,10540,10233
P00532,Commercial,Construction,North,2026-09,7440,7223
P00533,Commercial,Construction,North,2026-09,10171,9875
P00534,Commercial,Construction,North,2026-09,33648,32668
P00535,Commercial,Construction,North,2026-09,6293,6110
P00536,Commercial,Construction,North,2026-09,11678,11338
