policy_id,product,segment,region,period,active_policies,earned_exposure_units
P06209,Commercial,Construction,South,2026-08,1,2.1739
P06210,Commercial,Construction,South,2026-08,1,2.1739
P06211,Commercial,Construction,South,2026-08,1,2.1739
P06212,Commercial,Construction,South,2026-08,1,2.1739
P06213,Commercial,Construction,South,2026-08,1,2.1739
P06214,Commercial,Construction,South,2026-08,1,2.1739
P06215,Commercial,Construction,South,2026-08,1,2.1739
P06216,Commercial,Construction,South,2026-08,1,2.1739
P06217,Commercial,Construction,South,2026-08,1,2.1739
P06218,Commercial,Construction,South,2026-08,1,2.1739
P06219,Commercial,Construction,South,2026-08,1,2.1739
P06220,Commercial,Construction,South,2026-08,1,2.1739
P06221,Commercial,Construction,South,2026-08,1,2.1739
P06222,Commercial,Construction,South,2026-08,1,2.1739
P06223,Commercial,Construction,South,2026-08,1,2.1739
P06224,Commercial,Construction,South,2026-08,1,2.1739
P06225,Commercial,Construction,South,2026-08,1,2.1739
P06226,Commercial,Construction,South,2026-08,1,2.1739
P06227,Commercial,Construction,South,2026-08,1,2.1739
P06228,Commercial,Construction,South,2026-08,1,2.1739
P06229,Commercial,Construction,South,2026-08,1,2.1739
P06230,Commercial,Construction,South,2026-08,1,2.1739
P06231,Commercial,Construction,South,2026-08,1,2.1739
P06232,Commercial,Construction,South,2026-08,1,2.1739
P06233,Commercial,Construction,South,2026-08,1,2.1739
P06234,Commercial,Construction,South,2026-08,1,2.1739
P06235,Commercial,Construction,South,2026-08,1,2.1739
P06236,Commercial,Construction,South,2026-08,1,2.1739
P06237,Commercial,Construction,South,2026-08,1,2.1739
P06238,Commercial,Construction,South,2026-08,1,2.1739
P06239,Commercial,Construction,South,2026-08,1,2.1739
P06240,Commercial,Construction,South,2026-08,1,2.1739
P06241,Commercial,Construction,South,2026-08,1,2.1739
P06242,Commercial,Construction,South,2026-08,1,2.1739
P06243,Commercial,Construction,South,2026-08,1,2.1739
P06244,Commercial,Construction,South,2026-08,1,2.1739
P06245,Commercial,Construction,South,2026-08,1,2.1739
P06246,Commercial,Construction,South,2026-08,1,2.1739
P06247,Commercial,Construction,South,2026-08,1,2.1739
P06248,Commercial,Construction,South,2026-08,1,2.1739
P06249,Commercial,Construction,South,2026-08,1,2.1739
P06250,Commercial,Construction,South,2026-08,1,2.1739
P06251,Commercial,Construction,South,2026-08,1,2.1739
P06252,Commercial,Construction,South,2026-08,1,2.1739
P06253,Commercial,Construction,South,2026-08,1,2.1739
P06254,Commercial,Construction,South,2026-08,1,2.1739
P06255,Commercial,Construction,South,2026-08,1,2.1739
P06256,Commercial,Construction,South,2026-08,1,2.1739
P06257,Commercial,Construction,South,2026-08,1,2.1739
P06258,Commercial,Construction,South,2026-08,1,2.1739
P06259,Commercial,Construction,South,2026-08,1,2.1739
P06260,Commercial,Construction,South,2026-08,1,2.1739
P06261,Commercial,Construction,South,2026-08,1,2.1739
P06262,Commercial,Construction,South,2026-08,1,2.1739
P06263,Commercial,Construction,South,2026-08,1,2.1739
P06264,Commercial,Construction,South,2026-08,1,2.1739
P06265,Commercial,Construction,South,2026-08,1,2.1739
P06266,Commercial,Construction,South,2026-08,1,2.1739
P06267,Commercial,Construction,South,2026-08,1,2.1739
P06268,Commercial,Construction,South,2026-08,1,2.1739
P06269,Commercial,Construction,South,2026-08,1,2.1739
P06270,Commercial,Construction,South,2026-08,1,2.1739
P06271,Commercial,Construction,South,2026-08,1,2.1739
P06272,Commercial,Construction,South,2026-08,1,2.1739
P06273,Commercial,Construction,South,2026-08,1,2.1739
P06274,Commercial,Construction,South,2026-08,1,2.1739
P06275,Commercial,Construction,South,2026-08,1,2.1739
P06276,Commercial,Construction,South,2026-08,1,2.1739
P06277,Commercial,Construction,South,2026-08,1,2.1739
P06278,Commercial,Construction,South,2026-08,1,2.1739
P06279,Commercial,Construction,South,2026-08,1,2.1739
P06280,Commercial,Construction,South,2026-08,1,2.1739
P06281,Commercial,Construction,South,2026-08,1,2.1739
P06282,Commercial,Construction,South,2026-08,1,2.1739
P06283,Commercial,Construction,South,2026-08,1,2.1739
P06284,Commercial,Construction,South,2026-08,1,2.1739
P06285,Commercial,Construction,South,2026-08,1,2.1739
P06286,Commercial,Construction,South,2026-08,1,2.1739
P06287,Commercial,Construction,South,2026-08,1,2.1739
P06288,Commercial,Construction,South,2026-08,1,2.1739
P06289,Commercial,Construction,South,2026-08,1,2.1739
P06290,Commercial,Construction,South,2026-08,1,2.1739
P06291,Commercial,Construction,South,2026-08,1,2.1739
P06292,Commercial,Construction,South,2026-08,1,2.1739
P06293,Commercial,Construction,South,2026-08,1,2.1739
P06294,Commercial,Construction,South,2026-08,1,2.1739
P06295,Commercial,Construction,South,2026-08,1,2.1739
P06296,Commercial,Construction,South,2026-08,1,2.1739
P06297,Commercial,Construction,South,2026-08,1,2.1739
P06298,Commercial,Construction,South,2026-08,1,2.1739
P06299,Commercial,Construction,South,2026-08,1,2.1739
P06300,Commercial,Construction,South,2026-08,1,2.1739
P06301,Commercial,Construction,South,2026-08,1,2.1739
P06302,Commercial,Construction,South,2026-08,1,2.1739
P06303,Commercial,Construction,South,2026-08,1,2.1739
P06304,Commercial,Construction,South,2026-08,1,2.1739
P06305,Commercial,Construction,South,2026-08,1,2.1739
P06306,Commercial,Construction,South,2026-08,1,2.1739
P06307,Commercial,Construction,South,2026-08,1,2.1739
P06308,Commercial,Construction,South,2026-08,1,2.1739
P06309,Commercial,Construction,South,2026-08,1,2.1739
P06310,Commercial,Construction,South,2026-08,1,2.1739
P06311,Commercial,Construction,South,2026-08,1,2.1739
P06312,Commercial,Construction,South,2026-08,1,2.1739
P06313,Commercial,Construction,South,2026-08,1,2.1739
P06314,Commercial,Construction,South,2026-08,1,2.1739
P06315,Commercial,Construction,South,2026-08,1,2.1739
P06316,Commercial,Construction,South,2026-08,1,2.1739
P06317,Commercial,Construction,South,2026-08,1,2.1739
P06318,Commercial,Construction,South,2026-08,1,2.1739
P06319,Commercial,Construction,South,2026-08,1,2.1739
P06320,Commercial,Construction,South,2026-08,1,2.1739
P06321,Commercial,Construction,South,2026-08,1,2.1739
P06322,Commercial,Construction,South,2026-08,1,2.1739
P06323,Commercial,Construction,South,2026-08,1,2.1739
P06324,Commercial,Construction,South,2026-08,1,2.1739
P06325,Commercial,Construction,South,2026-08,1,2.1739
P06326,Commercial,Construction,South,2026-08,1,2.1739
P06327,Commercial,Construction,South,2026-08,1,2.1739
P06328,Commercial,Construction,South,2026-08,1,2.1739
P06329,Commercial,Construction,South,2026-08,1,2.1739
P06330,Commercial,Construction,South,2026-08,1,2.1739
P06331,Commercial,Construction,South,2026-08,1,2.1739
P06332,Commercial,Construction,South,2026-08,1,2.1739
P06333,Commercial,Construction,South,2026-08,1,2.1739
P06334,Commercial,Construction,South,2026-08,1,2.1739
P06335,Commercial,Construction,South,2026-08,1,2.1739
P06336,Commercial,Construction,South,2026-08,1,2.1739
P06337,Commercial,Construction,South,2026-08,1,2.1739
P06338,Commercial,Construction,South,2026-08,1,2.1739
P06339,Commercial,Construction,South,2026-08,1,2.1739
P06340,Commercial,Construction,South,2026-08,1,2.1739
P06341,Commercial,Construction,South,2026-08,1,2.1739
P06342,Commercial,Construction,South,2026-08,1,2.1739
P06343,Commercial,Construction,South,2026-08,1,2.1739
P06344,Commercial,Construction,South,2026-08,1,2.1739
P06345,Commercial,Construction,South,2026-08,1,2.1739
P06346,Commercial,Construction,South,2026-08,1,2.1739
P06347,Commercial,Construction,South,2026-08,1,2.1739
P06348,Commercial,Construction,South,2026-08,1,2.1739
P06349,Commercial,Construction,South,2026-08,1,2.1739
P06350,Commercial,Construction,South,2026-08,1,2.1739
P06351,Commercial,Construction,South,2026-08,1,2.1739
P06352,Commercial,Construction,South,2026-08,1,2.1739
P06353,Commercial,Construction,South,2026-08,1,2.1739
P06354,Commercial,Construction,South,2026-08,1,2.1739
P06355,Commercial,Construction,South,2026-08,1,2.1739
P06356,Commercial,Construction,South,2026-08,1,2.1739
P06357,Commercial,Construction,South,2026-08,1,2.1739
P06358,Commercial,Construction,South,2026-08,1,2.1739
P06359,Commercial,Construction,South,2026-08,1,2.1739
P06360,Commercial,Construction,South,2026-08,1,2.1739
P06361,Commercial,Construction,South,2026-08,1,2.1739
P06362,Commercial,Construction,South,2026-08,1,2.1739
P06363,Commercial,Construction,South,2026-08,1,2.1739
P06364,Commercial,Construction,South,2026-08,1,2.1739
P06365,Commercial,Construction,South,2026-08,1,2.1739
P06366,Commercial,Construction,South,2026-08,1,2.1739
P06367,Commercial,Construction,South,2026-08,1,2.1739
P06368,Commercial,Construction,South,2026-08,1,2.1739
P06369,Commercial,Construction,South,2026-08,1,2.1739
P06370,Commercial,Construction,South,2026-08,1,2.1739
P06371,Commercial,Construction,South,2026-08,1,2.1739
P06372,Commercial,Construction,South,2026-08,1,2.1739
P06373,Commercial,Construction,South,2026-08,1,2.1739
P06374,Commercial,Construction,South,2026-08,1,2.1739
P06375,Commercial,Construction,South,2026-08,1,2.1739
P06376,Commercial,Construction,South,2026-08,1,2.1739
P06377,Commercial,Construction,South,2026-08,1,2.1739
P06378,Commercial,Construction,South,2026-08,1,2.1739
P06379,Commercial,Construction,South,2026-08,1,2.1739
P06380,Commercial,Construction,South,2026-08,1,2.1739
P06381,Commercial,Construction,South,2026-08,1,2.1739
P06382,Commercial,Construction,South,2026-08,1,2.1739
P06383,Commercial,Construction,South,2026-08,1,2.1739
P06384,Commercial,Construction,South,2026-08,1,2.1739
P06385,Commercial,Construction,South,2026-08,1,2.1739
P06386,Commercial,Construction,South,2026-08,1,2.1739
P06387,Commercial,Construction,South,2026-08,1,2.1739
P06388,Commercial,Construction,South,2026-08,1,2.1739
P06389,Commercial,Construction,South,2026-08,1,2.1739
P06390,Commercial,Construction,South,2026-08,1,2.1739
P06391,Commercial,Construction,South,2026-08,1,2.1739
P06392,Commercial,Construction,South,2026-08,1,2.1739
P06393,Commercial,Construction,South,2026-08,1,2.1739
P06394,Commercial,Construction,South,2026-08,1,2.1739
P06395,Commercial,Construction,South,2026-08,1,2.1739
P06396,Commercial,Construction,South,2026-08,1,2.1739
P06397,Commercial,Construction,South,2026-08,1,2.1739
P06398,Commercial,Construction,South,2026-08,1,2.1739
P06399,Commercial,Construction,South,2026-08,1,2.1739
P06400,Commercial,Construction,South,2026-08,1,2.1739
P06401,Commercial,Construction,South,2026-08,1,2.1739
P06402,Commercial,Construction,South,2026-08,1,2.1739
P06403,Commercial,Construction,South,2026-08,1,2.1739
P06404,Commercial,Construction,South,2026-08,1,2.1739
P06405,Commercial,Construction,South,2026-08,1,2.1739
P06406,Commercial,Construction,South,2026-08,1,2.1739
P06407,Commercial,Construction,South,2026-08,1,2.1739
P06408,Commercial,Construction,South,2026-08,1,2.1739
P06409,Commercial,Construction,South,2026-08,1,2.1739
P06410,Commercial,Construction,South,2026-08,1,2.1739
P06411,Commercial,Construction,South,2026-08,1,2.1739
P06412,Commercial,Construction,South,2026-08,1,2.1739
P06413,Commercial,Construction,South,2026-08,1,2.1739
P06414,Commercial,Construction,South,2026-08,1,2.1739
P06415,Commercial,Construction,South,2026-08,1,2.1739
P06416,Commercial,Construction,South,2026-08,1,2.1739
P06417,Commercial,Construction,South,2026-08,1,2.1739
P06418,Commercial,Construction,South,2026-08,1,2.1739
P06419,Commercial,Construction,South,2026-08,1,2.1739
P06420,Commercial,Construction,South,2026-08,1,2.1739
P06421,Commercial,Construction,South,2026-08,1,2.1739
P06422,Commercial,Construction,South,2026-08,1,2.1739
P06423,Commercial,Construction,South,2026-08,1,2.1739
P06424,Commercial,Construction,South,2026-08,1,2.1739
P06425,Commercial,Construction,South,2026-08,1,2.1739
P06426,Commercial,Construction,South,2026-08,1,2.1739
P06427,Commercial,Construction,South,2026-08,1,2.1739
P06428,Commercial,Construction,South,2026-08,1,2.1739
P06429,Commercial,Construction,South,2026-08,1,2.1739
P06430,Commercial,Construction,South,2026-08,1,2.1739
P06431,Commercial,Construction,South,2026-08,1,2.1739
P06432,Commercial,Construction,South,2026-08,1,2.1739
P06433,Commercial,Construction,South,2026-08,1,2.1739
P06434,Commercial,Construction,South,2026-08,1,2.1739
P06435,Commercial,Construction,South,2026-08,1,2.1739
P06436,Commercial,Construction,South,2026-08,1,2.1739
P06437,Commercial,Construction,South,2026-08,1,2.1739
P06438,Commercial,Construction,South,2026-08,1,2.1739
P06439,Commercial,Construction,South,2026-08,1,2.1739
P06440,Commercial,Construction,South,2026-08,1,2.1739
P06441,Commercial,Construction,South,2026-08,1,2.1739
P06442,Commercial,Construction,South,2026-08,1,2.1739
P06443,Commercial,Construction,South,2026-08,1,2.1739
P06444,Commercial,Construction,South,2026-08,1,2.1739
P06445,Commercial,Construction,South,2026-08,1,2.1739
P06446,Commercial,Construction,South,2026-08,1,2.1739
P06447,Commercial,Construction,South,2026-08,1,2.1739
P06448,Commercial,Construction,South,2026-08,1,2.1739
P06449,Commercial,Construction,South,2026-08,1,2.1739
P06450,Commercial,Construction,South,2026-08,1,2.1739
P06451,Commercial,Construction,South,2026-08,1,2.1739
P06452,Commercial,Construction,South,2026-08,1,2.1739
P06453,Commercial,Construction,South,2026-08,1,2.1739
P06454,Commercial,Construction,South,2026-08,1,2.1739
P06455,Commercial,Construction,South,2026-08,1,2.1739
P06456,Commercial,Construction,South,2026-08,1,2.1739
P06457,Commercial,Construction,South,2026-08,1,2.1739
P06458,Commercial,Construction,South,2026-08,1,2.1739
P06459,Commercial,Construction,South,2026-08,1,2.1739
P06460,Commercial,Construction,South,2026-08,1,2.1739
P06461,Commercial,Construction,North,2026-08,1,1.0
P06462,Commercial,Construction,North,2026-08,1,1.0
P06463,Commercial,Construction,North,2026-08,1,1.0
P06464,Commercial,Construction,North,2026-08,1,1.0
P06465,Commercial,Construction,North,2026-08,1,1.0
P06466,Commercial,Construction,North,2026-08,1,1.0
P06467,Commercial,Construction,North,2026-08,1,1.0
P06468,Commercial,Construction,North,2026-08,1,1.0
P06469,Commercial,Construction,North,2026-08,1,1.0
P06470,Commercial,Construction,North,2026-08,1,1.0
P06471,Commercial,Construction,North,2026-08,1,1.0
P06472,Commercial,Construction,North,2026-08,1,1.0
P06473,Commercial,Construction,North,2026-08,1,1.0
P06474,Commercial,Construction,North,2026-08,1,1.0
P06475,Commercial,Construction,North,2026-08,1,1.0
P06476,Commercial,Construction,North,2026-08,1,1.0
P06477,Commercial,Construction,North,2026-08,1,1.0
P06478,Commercial,Construction,North,2026-08,1,1.0
P06479,Commercial,Construction,North,2026-08,1,1.0
P06480,Commercial,Construction,North,2026-08,1,1.0
P06481,Commercial,Construction,North,2026-08,1,1.0
P06482,Commercial,Construction,North,2026-08,1,1.0
P06483,Commercial,Construction,North,2026-08,1,1.0
P06484,Commercial,Construction,North,2026-08,1,1.0
P06485,Commercial,Construction,North,2026-08,1,1.0
P06486,Commercial,Construction,North,2026-08,1,1.0
P06487,Commercial,Construction,North,2026-08,1,1.0
P06488,Commercial,Construction,North,2026-08,1,1.0
P06489,Commercial,Construction,North,2026-08,1,1.0
P06490,Commercial,Construction,North,2026-08,1,1.0
P06491,Commercial,Construction,North,2026-08,1,1.0
P06492,Commercial,Construction,North,2026-08,1,1.0
P06493,Commercial,Construction,North,2026-08,1,1.0
P06494,Commercial,Construction,North,2026-08,1,1.0
P06495,Commercial,Construction,North,2026-08,1,1.0
P06496,Commercial,Construction,North,2026-08,1,1.0
P06497,Commercial,Construction,North,2026-08,1,1.0
P06498,Commercial,Construction,North,2026-08,1,1.0
P06499,Commercial,Construction,North,2026-08,1,1.0
P06500,Commercial,Construction,North,2026-08,1,1.0
P06501,Commercial,Construction,North,2026-08,1,1.0
P06502,Commercial,Construction,North,2026-08,1,1.0
P06503,Commercial,Construction,North,2026-08,1,1.0
P06504,Commercial,Construction,North,2026-08,1,1.0
P06505,Commercial,Construction,North,2026-08,1,1.0
P06506,Commercial,Construction,North,2026-08,1,1.0
P06507,Commercial,Construction,North,2026-08,1,1.0
P06508,Commercial,Construction,North,2026-08,1,1.0
P06509,Commercial,Construction,North,2026-08,1,1.0
P06510,Commercial,Construction,North,2026-08,1,1.0
P06511,Commercial,Construction,North,2026-08,1,1.0
P06512,Commercial,Construction,North,2026-08,1,1.0
P06513,Commercial,Construction,North,2026-08,1,1.0
P06514,Commercial,Construction,North,2026-08,1,1.0
P06515,Commercial,Construction,North,2026-08,1,1.0
P06516,Commercial,Construction,North,2026-08,1,1.0
P06517,Commercial,Construction,North,2026-08,1,1.0
P06518,Commercial,Construction,North,2026-08,1,1.0
